GEOID,Weighted Population,stations,Edge Density (KM),Street Node Average,Number of Links/Number of Nodes,Intersection Count,%of commercial landuse,%of education landuse,%of industrial landuse,%of other landuse,%of parkland landuse,%of primary production landuse,%of residential landuse,%of transport landuse,%of water landuse,Weekly household income,Household median age
36005014900,4714,3,46138.235007904615,0.0,3.101010101010101,83.0,0.6425273210977818,7.922833389885184,0.0,34.29969877870448,22.77082477572243,0.0,19.32405093794047,15.04006479664966,0.0,691.96,31.2
36005015100,5216,12,72696.29562858552,0.0,3.2229299363057327,137.0,0.4220719139665284,4.45266431288418,0.0928296174323615,26.543486409532616,25.892622753118545,0.0,22.814049056457733,19.78227593660803,0.0,601.88,47.0
36005015200,2562,8,41363.63786012882,0.0,3.2857142857142856,77.0,2.8962078990982625,2.2133019763312993,0.0,30.73853016207188,26.167867106411222,0.0,16.44332247918063,21.540770376906703,0.0,1574.52,38.3
36005015300,3603,16,88624.07762658542,0.0,3.5548780487804876,156.0,0.202900318591917,2.46924135552768,0.0,27.734727270763393,32.48709607473171,0.0,18.409939374703967,18.696095605681343,0.0,635.15,37.1
36005015500,3016,8,99772.32737476894,0.0,3.433628318584071,108.0,4.3354180778400195,5.393354402542848,0.9841081310357396,30.413523646490003,18.063679180589997,0.0,18.608601068951845,22.20131549254954,0.0,844.48,41.6
36005015700,6152,2,83469.12681681955,0.0,3.2568093385214008,225.0,0.585208986506804,1.9377609178269637,0.5076511690179505,33.31719582218415,23.30332695367677,0.0,11.270059012666108,24.625794915486637,4.453002222634616,894.31,35.0
36005015800,1490,1,23386.276955774792,0.0,3.2058823529411766,31.0,1.9073264297033568,5.107100520136518,0.0,33.3603599875782,27.5757695406561,0.0,16.97137848237364,15.07806503955218,0.0,1685.69,46.8
36005015900,2407,8,55978.19598249843,0.0,3.320754716981132,48.0,6.249125995369702,4.8725789397275605,0.0,27.20264011553497,22.39633775901145,0.0,22.153180149471353,17.12613704088497,0.0,493.96,34.2
36005016000,3848,3,4796.641050821077,0.0,2.887323943661972,54.0,0.0,0.0371576837035173,0.0,6.752826181841261,5.070716670427663,0.0,1.400735351838114,2.7737625941275095,83.96480151806192,1735.02,43.5
36005016100,4703,14,95166.47956563624,0.0,3.450261780104712,178.0,11.711954541072128,1.623516309325292,7.826707298355712,30.452610941455887,14.07214086639924,0.0,13.929931134211932,20.38313890917982,0.0,446.35,44.0
36005016200,1885,1,26959.829283263884,0.0,3.2083333333333335,22.0,2.04398952231814,0.8800211381757209,0.0983002335196284,34.08991610369856,26.896658024382926,0.0,21.564487342353956,14.426627635551055,0.0,2339.33,36.5
36005016300,0,6,68984.01527024852,0.0,2.9239766081871346,290.0,0.0,0.0,0.0,16.009256784062888,77.80454466650619,0.0,0.0,4.50687951069881,1.6793190387321064,0.0,0.0
36005016400,1132,12,40348.73669525049,0.0,3.3404255319148937,43.0,1.4523321188463754,1.875530427422802,0.0,31.267584020749375,27.888130855152745,0.0,21.463402319421263,16.053020258407432,0.0,1328.02,39.7
36005016500,1311,2,33250.41176180932,0.0,2.466019417475728,59.0,1.5726793290514738,4.6858345368386,17.034026670347448,25.91746077773046,12.746840224718705,0.0,3.4620162313798972,34.58114222993342,0.0,1008.58,32.3
36005016600,2395,3,16343.921526578652,0.0,3.3181818181818183,20.0,1.4898502574667416,0.4667189450990674,0.0,28.9850345088791,33.294727746131734,0.0,16.764566908456388,18.99910163396696,0.0,2106.13,37.9
36005016700,3015,5,59332.30259833907,0.0,3.16,107.0,4.761582896826029,8.216068481011622,10.51317171234047,30.12609226207327,11.779781160069874,0.0,8.252330081566392,26.350973406112352,0.0,872.37,33.2
36005016900,1944,5,70760.56909833876,0.0,3.3766233766233764,72.0,0.8326553416213365,6.281870162001579,0.299538854765377,29.862387639238364,25.4359553287089,0.0,13.34071461033065,23.9468780633338,0.0,810.92,30.8
36005017100,0,1,70879.6895427547,0.0,3.07,93.0,0.0,0.0,0.0,9.89846110089963,85.70164841225856,0.0,0.0,4.399890486841808,0.0,0.0,0.0
36005017300,5266,4,75442.10934127736,0.0,3.248,107.0,1.0419950858850675,7.028621545177461,0.0,37.67785938641857,20.449498530140676,0.0,14.17463952662495,19.62738592575328,0.0,639.79,41.0
36005017500,6264,3,100833.96348869787,0.0,3.612403100775194,120.0,0.8915148962688803,8.801760070444677,0.0,31.152449570722933,16.084398638808647,0.0,25.511060561439745,17.558816262315116,0.0,355.27,31.5
36005017701,5395,2,63639.380701617585,0.0,3.4782608695652173,63.0,3.026616023706614,5.487080465681643,0.0,30.91066583663449,15.243603512842563,0.0,25.05912734452465,20.272906816610043,0.0,1194.73,36.7
36005017702,5232,7,74995.64773092668,0.0,3.451219512195122,75.0,4.066870525828806,2.7159375075838748,0.0,26.13986691536362,22.041855639289807,0.0,26.48591877687257,18.54955063506134,0.0,771.63,35.8
36005017901,4968,4,99034.605017405,0.0,3.6216216216216215,72.0,2.95319395546648,1.537641338887056,0.0,29.491857827561017,8.515335190532152,0.0,33.946046546207874,23.555925141345405,0.0,918.81,35.4
